科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"31JG042
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
金1",CA307,ブリンクマン ブルース ケネス,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 4班対象 G科目. 対面(オンライン併用型)
"31JG052
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
金1",CA503,山口 有梨沙,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 5班対象 G科目. 対面(オンライン併用型)
"31JG062
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
金1",CA403,末森 咲,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 6班対象 G科目. 対面(オンライン併用型)
"31JG072
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
火4",CA405,平井 明代,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 7班対象 G科目. 対面(オンライン併用型)
"31JG082
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
火4",CA503,小泉 利恵,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 8班対象 G科目. 対面(オンライン併用型)
"31JG092
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
火4",1B408,柳沢 明文,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 9班対象 G科目. 対面(オンライン併用型)
"31JG102
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
火4",CA301,ヨン シュウェンダマン フェイ ドーカス,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 10班対象 G科目. 対面(オンライン併用型)
"31JG112
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
火4",CA501,高木 智世,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 11班対象 G科目. 対面(オンライン併用型)
"31JG122
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,「社会、国際、資源、情報、総学6組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31JH012
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
金3",CA305,ヨン シュウェンダマン フェイ ドーカス,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,2019年度以降入学者対象 再履修者用クラス G科目. 対面(オンライン併用型)
"31JH022
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
水4",CA305,ヴルガリス ゲラシモス,対面,「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,2019年度以降入学者対象 再履修者用クラス G科目. 対面(オンライン併用型)
"31JH032
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春季休業中
集中",,末森 咲,"オンデマンド
同時双方向",「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,2019年度以降入学者対象 再履修者用クラス 人数制限あり 詳細後日周知. G科目. オンライン(オンデマンド型) 原則としてオンライン(オンデマンド)とする。但し、状況に応じて、同時双方向型のオンライン授業を併用する。開講当該年度の卒業予定者は履修不可。1年次学生は、再履修学生、当該年度秋学期入学者のみ履修可。
"31JH042
English Presentation Skills I
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春季休業中
集中",,阿部 幸大,"オンデマンド
同時双方向",「一般学術目的の英語」の枠組みで、国際的学術交流を目標とした実践的コミュニケーション・スキルを学ぶことができる。 プレゼンテーションやディスカッションを中心にインプットとアウトプットの両面から、未知への気付きや理解を養うことができる。教授言語は主に英語。,2019年度以降入学者対象 再履修者用クラス 人数制限あり 詳細後日周知. G科目. オンライン(オンデマンド型) 原則としてオンライン(オンデマンド)とする。但し、状況に応じて、同時双方向型のオンライン授業を併用する。開講当該年度の卒業予定者は履修不可。1年次学生は、再履修学生、当該年度秋学期入学者のみ履修可。
"31KA012
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水1",1B302,ヨン シュウェンダマン フェイ ドーカス,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 1班対象 G科目. 対面(オンライン併用型)
"31KA022
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水1",1B402,佐野 隆弥,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 2班対象 G科目. 対面(オンライン併用型)
"31KA032
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水1",共同利用棟A201,宮腰 幸一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 3班対象 G科目. 対面(オンライン併用型)
"31KA042
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水1",共同利用棟A203,和田 尚明,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 4班対象 G科目. 対面(オンライン併用型)
"31KA052
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水1",1B403,金谷 優,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 5班対象 G科目. 対面(オンライン併用型)
"31KA062
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水1",1C405,ン レイ ション,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 6班対象 G科目. 対面(オンライン併用型)
"31KA072
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月4",1C305,竹谷 悦子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 7班対象 G科目. 対面(オンライン併用型)
"31KA082
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月4",1B403,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 8班対象 G科目. 対面(オンライン併用型)
"31KA092
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月4",共同利用棟A102,土方 裕子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 9班対象 G科目. 対面(オンライン併用型)
"31KA102
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月4",CA304,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 10班対象 G科目. 対面(オンライン併用型)
"31KA112
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月4",CA306,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 11班対象 G科目. 対面(オンライン併用型)
"31KA122
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31KB012
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水2",1B302,ヨン シュウェンダマン フェイ ドーカス,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 1班対象 G科目. 対面(オンライン併用型)
"31KB022
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水2",CA306,マダバカス ナヒーン,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 2班対象 G科目. 対面(オンライン併用型)
"31KB032
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水2",共同利用棟A201,宮腰 幸一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 3班対象 G科目. 対面(オンライン併用型)
"31KB042
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水2",共同利用棟A203,和田 尚明,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 4班対象 G科目. 対面(オンライン併用型)
"31KB052
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水2",1B403,金谷 優,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 5班対象 G科目. 対面(オンライン併用型)
"31KB062
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
水2",1C405,ン レイ ション,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 6班対象 G科目. 対面(オンライン併用型)
"31KB072
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月3",1C305,竹谷 悦子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 7班対象 G科目. 対面(オンライン併用型)
"31KB082
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月3",1B403,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 8班対象 G科目. 対面(オンライン併用型)
"31KB092
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月3",共同利用棟A102,土方 裕子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 9班対象 G科目. 対面(オンライン併用型)
"31KB102
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月3",CA301,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 10班対象 G科目. 対面(オンライン併用型)
"31KB112
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月3",CA306,納谷 亮平,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 11班対象 G科目. 対面(オンライン併用型)
"31KB122
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31KC012
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月6",CA503,黄 賢?,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 1班対象 G科目. 対面(オンライン併用型)
"31KC022
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月6",5C302,山村 崇斗,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 2班対象 G科目. 対面(オンライン併用型)
"31KC032
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月6",CA406,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 3班対象 G科目. 対面(オンライン併用型)
"31KC042
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月6",1C405,納谷 亮平,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 4班対象 G科目. 対面(オンライン併用型)
"31KC052
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月6",5C308,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 5班対象 G科目. 対面(オンライン併用型)
"31KC062
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 6班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31KC072
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木1",1B402,佐野 隆弥,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 7班対象 G科目. 対面(オンライン併用型)
"31KC082
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木1",1B303,吉原 ゆかり,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 8班対象 G科目. 対面(オンライン併用型)
"31KC092
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木1",共同利用棟A102,齋藤 一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 9班対象 G科目. 対面(オンライン併用型)
"31KC102
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木1",5C301,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 10班対象 G科目. 対面(オンライン併用型)
"31KC112
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木1",CA301,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 11班対象 G科目. 対面(オンライン併用型)
"31KC122
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31KE012
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月5",CA503,山村 崇斗,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 1班対象 G科目. 対面(オンライン併用型)
"31KE022
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月5",5C302,納谷 亮平,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 2班対象 G科目. 対面(オンライン併用型)
"31KE032
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月5",1C405,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 3班対象 G科目. 対面(オンライン併用型)
"31KE042
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月5",5C308,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 4班対象 G科目. 対面(オンライン併用型)
"31KE052
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
月5",1B403,金谷 優,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 5班対象 G科目. 対面(オンライン併用型)
"31KE062
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 6班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31KE072
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木2",1B402,馬籠 清子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 7班対象 G科目. 対面(オンライン併用型)
"31KE082
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木2",1B303,吉原 ゆかり,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 8班対象 G科目. 対面(オンライン併用型)
"31KE092
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木2",共同利用棟A102,齋藤 一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 9班対象 G科目. 対面(オンライン併用型)
"31KE102
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木2",5C301,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 10班対象 G科目. 対面(オンライン併用型)
"31KE112
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
木2",CA301,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 11班対象 G科目. 対面(オンライン併用型)
"31KE122
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31KF012
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
火3",5C507,ン レイ ション,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「教育、心理、障害、知識、体育2、総学5組」 1班対象 G科目. 対面(オンライン併用型)
"31KF022
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
火3",1B303,サラザール ハビエル,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「教育、心理、障害、知識、体育2、総学5組」 2班対象 G科目. 対面(オンライン併用型)
"31KF032
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
火3",共同利用棟A203,末森 咲,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「教育、心理、障害、知識、体育2、総学5組」 3班対象 G科目. 対面(オンライン併用型)
"31KF042
English Reading Skills II
シラバスシラバス（ミラー）","1.0単位
1年次","秋ABC
火3",CA305,馬籠 清子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に、より深く学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「教育、心理、障害、知識、体育2、総学5組」 4班対象 G科目. 対面(オンライン併用型)
